MUNICIPIO,EMPRESA,MEDIDA,SERVICIO,VALOR
BARRANQUILLA,62071-ENEL X COLOMBIA SAS ESP,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,62071-ENEL X COLOMBIA SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,62371-BIA ENERGY SAS ESP,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,62371-BIA ENERGY SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,62371-BIA ENERGY SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,62371-BIA ENERGY SAS ESP,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,62371-BIA ENERGY SAS ESP,Numero de periodos,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,2322-VATIA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,2322-VATIA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,2322-VATIA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,2322-VATIA S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,2322-VATIA S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Facturación total,ACUEDUCTO,34437477482.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Facturación por consumo,ACUEDUCTO,2105071762.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Consumo total ,ACUEDUCTO,664832.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Numero de suscriptores ,ACUEDUCTO,4267.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Subsidios,ACUEDUCTO,1059217474.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Contribuciones,ACUEDUCTO,14526579.0
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Promedio de Facturación total ,ACUEDUCTO,8070653.27
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Promedio de Facturación por consumo,ACUEDUCTO,493337.65
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Promedio de Consumo,ACUEDUCTO,155.81
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Valor Facturado por unidad de consumo,ACUEDUCTO,3166.32
CAMPO DE LA CRUZ,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Numero de periodos,ACUEDUCTO,1.0
CAMPO DE LA CRUZ,45298-NEU ENERGY SAS ESP,Numero de periodos,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,48307-AIR-E S.A.S. E.S.P.,Facturación total,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,48307-AIR-E S.A.S. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,48307-AIR-E S.A.S. E.S.P.,Consumo total ,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,48307-AIR-E S.A.S. E.S.P.,Subsidios,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,48307-AIR-E S.A.S. E.S.P.,Contribuciones,ACUEDUCTO,0.0
CAMPO DE LA CRUZ,48307-AIR-E S.A.S. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Facturación total,ACUEDUCTO,38517024320.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Facturación por consumo,ACUEDUCTO,1594095751.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Consumo total ,ACUEDUCTO,503673.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Numero de suscriptores ,ACUEDUCTO,3430.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Subsidios,ACUEDUCTO,843025584.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Contribuciones,ACUEDUCTO,8055779.0
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Promedio de Facturación total ,ACUEDUCTO,11229453.15
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Promedio de Facturación por consumo,ACUEDUCTO,464750.95
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Promedio de Consumo,ACUEDUCTO,146.84
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Valor Facturado por unidad de consumo,ACUEDUCTO,3164.94
CANDELARIA,40497-AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P,Numero de periodos,ACUEDUCTO,1.0
CANDELARIA,48307-AIR-E S.A.S. E.S.P.,Facturación total,ACUEDUCTO,0.0
CANDELARIA,48307-AIR-E S.A.S. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
CANDELARIA,48307-AIR-E S.A.S. E.S.P.,Consumo total ,ACUEDUCTO,0.0
CANDELARIA,48307-AIR-E S.A.S. E.S.P.,Subsidios,ACUEDUCTO,0.0
CANDELARIA,48307-AIR-E S.A.S. E.S.P.,Contribuciones,ACUEDUCTO,0.0
CANDELARIA,48307-AIR-E S.A.S. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Facturación total,ACUEDUCTO,66066143786.0
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Consumo total ,ACUEDUCTO,3187023.0
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de suscriptores ,ACUEDUCTO,10652.0
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Subsidios,ACUEDUCTO,2903753381.0
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Contribuciones,ACUEDUCTO,1790941543.0
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Facturación total ,ACUEDUCTO,6202229.04
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Consumo,ACUEDUCTO,299.19
GALAPA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de periodos,ACUEDUCTO,1.0
GALAPA,480-ISAGEN S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
GALAPA,480-ISAGEN S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
GALAPA,480-ISAGEN S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
GALAPA,480-ISAGEN S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
GALAPA,536-CELSIA COLOMBIA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
GALAPA,536-CELSIA COLOMBIA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
GALAPA,536-CELSIA COLOMBIA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
