,,,TIEMPO,,,,
BARANOA,RECLAMACION,FALLAS EN LA CONEXION DEL SERVICIO,0,1,0,0,0
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,63,48,102,125,50
BARANOA,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,65,60,60,30,0
BARANOA,RECURSO DE REPOSICION,COBRO MULTIPLE Y/O ACUMULADO,44,48,48,30,5
BARANOA,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,39,36,36,18,0
BARANOA,RECURSO DE REPOSICION,COBROS POR PROMEDIO,12,0,2,16,7
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,0,5,12,5
BARANOA,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,0,0,3,12,5
BARANOA,RECURSO DE REPOSICION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,16,0,0,0,0
BARANOA,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",10,0,0,0,0
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD CON EL AFORO,5,0,0,0,0
BARANOA,RECURSO DE REPOSICION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,3,0,0,0,0
BARANOA,RECURSO DE REPOSICION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",3,0,0,0,0
BARANOA,RECURSO DE REPOSICION,ESTRATO INCORRECTO,1,0,0,0,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"1,653","3,095","5,247","6,911","2,645"
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,837,819,"1,849","3,522","1,811"
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",881,"1,422","1,569","1,688",800
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL AFORO,392,"1,055","1,421","1,647",686
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,234,391,"1,512","1,559",272
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,188,162,418,957,415
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,577,598,480,237,55
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO MULTIPLE Y/O ACUMULADO,258,414,489,493,163
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,0,52,317,779,569
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,283,352,370,213,55
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,351,288,288,126,30
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",225,288,252,111,5
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,5,266,437,161
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,0,8,70,196,166
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,59,97,135,93,34
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,0,0,13,51,15
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,9,12,12,3,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,0,0,5,12,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE REVISIONES,0,5,0,0,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,4,0,0,0,0
BARRANQUILLA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,249,370,374,394,218
BARRANQUILLA,QUEJA,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,0,0,9,34,0
BARRANQUILLA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,1,0,3,38,0
BARRANQUILLA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,0,2,4,18,0
BARRANQUILLA,QUEJA,DATOS GENERALES INCORRECTOS,0,0,0,23,0
BARRANQUILLA,QUEJA,SUBSIDIOS Y CONTRIBUCIONES,0,0,0,22,0
BARRANQUILLA,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2,1,9,7,1
BARRANQUILLA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,0,0,0,18,0
BARRANQUILLA,QUEJA,COBRO POR SERVICIOS NO PRESTADOS,0,0,0,18,0
BARRANQUILLA,QUEJA,COBRO MULTIPLE Y/O ACUMULADO,0,0,0,15,0
BARRANQUILLA,QUEJA,TARIFA INCORRECTA,0,0,0,9,0
BARRANQUILLA,QUEJA,QUEJAS ADMINISTRATIVAS,0,0,0,7,0
BARRANQUILLA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,0,0,2,3,0
BARRANQUILLA,QUEJA,COBROS INOPORTUNOS,0,0,0,4,0
BARRANQUILLA,QUEJA,COBROS POR PROMEDIO,0,0,1,1,0
BARRANQUILLA,QUEJA,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,0,0,0,2,0
BARRANQUILLA,QUEJA,TERMINACION DEL CONTRATO,0,0,0,1,0
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"140,394","206,021","312,203","163,626","36,582"
BARRANQUILLA,RECLAMACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,"227,321","102,182","138,745","74,439","28,168"
BARRANQUILLA,RECLAMACION,COBROS POR PROMEDIO,"45,182","77,345","138,150","83,253","25,910"
BARRANQUILLA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,"41,034","75,844","103,143","35,425","6,101"
BARRANQUILLA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2,"15,138","108,712","67,335","20,454"
BARRANQUILLA,RECLAMACION,DATOS GENERALES INCORRECTOS,1,"10,352","74,648","51,591","14,140"
BARRANQUILLA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,"55,381","53,110","7,091","1,236",77
BARRANQUILLA,RECLAMACION,ESTRATO INCORRECTO,"46,292","30,670","14,701","5,275",668
BARRANQUILLA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,"13,816","17,417","37,572","19,050","4,869"
BARRANQUILLA,RECLAMACION,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,"1,567","1,422","7,820","35,692","20,810"
BARRANQUILLA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,"21,143","20,374","13,430","6,545","1,531"
BARRANQUILLA,RECLAMACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,"4,639","31,690","15,998","2,089"
BARRANQUILLA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION","8,504","18,046","15,424","5,895","2,663"
BARRANQUILLA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,"5,100","14,225","18,268","8,556","4,242"
BARRANQUILLA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,"19,219","22,254","1,675",185,136
BARRANQUILLA,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,0,383,"5,591","15,767","8,379"
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON EL AFORO,"7,648","11,748","6,114","3,192",472
BARRANQUILLA,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,"4,004","5,687","8,918","3,939",767
BARRANQUILLA,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"5,647","4,280","5,693","3,285","1,154"
BARRANQUILLA,RECLAMACION,COBROS INOPORTUNOS,3,"1,843","8,482","3,620","1,266"
BARRANQUILLA,RECLAMACION,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,181,829,"6,271","6,221","1,671"
BARRANQUILLA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)","5,854","8,119","1,170",1,0
BARRANQUILLA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,"2,409","5,632",117,0,0
BARRANQUILLA,RECLAMACION,SUSPENSION O CORTE DEL SERVICIO,9,389,"1,934","1,614",478
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,357,"2,029","1,078",316
BARRANQUILLA,RECLAMACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,184,281,342,268,17
BARRANQUILLA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,247,233,233,162,46
BARRANQUILLA,RECLAMACION,QUEJAS ADMINISTRATIVAS,0,137,178,179,70
BARRANQUILLA,RECLAMACION,SUSPENSION POR MUTUO ACUERDO,0,41,162,150,75
BARRANQUILLA,RECLAMACION,COBRO DE REVISIONES,0,53,168,101,22
BARRANQUILLA,RECLAMACION,TARIFA INCORRECTA,220,63,16,25,2
BARRANQUILLA,RECLAMACION,FALLAS EN LA CONEXION DEL SERVICIO,0,53,1,12,0
BARRANQUILLA,RECLAMACION,TERMINACION DEL CONTRATO,0,0,0,1,1
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"3,708","3,327","5,882","12,754","5,289"
BARRANQUILLA,RECURSO DE REPOSICION,COBROS POR PROMEDIO,"1,583","1,384","2,559","5,670","2,387"
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,0,35,"1,256","4,580","2,057"
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,"1,773","1,712","1,720","1,475",515
BARRANQUILLA,RECURSO DE REPOSICION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,"1,325",756,"1,371","1,303",415
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,893,879,878,612,151
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,511,443,546,548,159
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,305,302,445,605,225
BARRANQUILLA,RECURSO DE REPOSICION,COBRO MULTIPLE Y/O ACUMULADO,258,260,397,590,228
BARRANQUILLA,RECURSO DE REPOSICION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,200,211,342,665,283
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,0,280,883,384
BARRANQUILLA,RECURSO DE REPOSICION,ESTRATO INCORRECTO,635,84,117,260,115
BARRANQUILLA,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",143,121,239,348,155
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD CON EL AFORO,183,144,152,235,105
BARRANQUILLA,RECURSO DE REPOSICION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",230,201,204,119,20
BARRANQUILLA,RECURSO DE REPOSICION,COBROS INOPORTUNOS,0,0,48,129,55
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR RECONEXION NO AUTORIZADA,55,60,60,33,10
BARRANQUILLA,RECURSO DE REPOSICION,TARIFA INCORRECTA,4,0,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,1,0,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION,SUBSIDIOS Y CONTRIBUCIONES,1,0,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,1,0,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE REVISIONES,0,1,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"48,257","76,373","162,255","256,452","96,724"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,"41,086","49,265","95,622","139,987","47,811"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,"17,866","29,306","83,961","156,175","67,116"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,0,"1,213","20,487","58,203","27,402"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,"6,061","5,133","15,458","25,690","10,524"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO MULTIPLE Y/O ACUMULADO,"7,250","10,573","14,585","14,043","4,607"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,"10,755","12,905","12,803","7,611","2,175"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION","3,965","6,313","8,855","9,467","4,274"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,"5,290","9,764","9,421","4,780","1,178"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,238,"7,253","15,760","6,049"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL AFORO,"2,988","5,340","7,079","8,875","3,481"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)","3,262","5,722","4,956","2,877",735
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,"3,450","3,638","4,400","3,905","1,113"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,619,"1,176","2,998","4,385","1,651"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,235,551,"1,487","4,200","1,906"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,0,139,"2,093","3,120","1,408"
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,884,"1,027","1,008",570,170
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUBSIDIOS Y CONTRIBUCIONES,31,159,179,135,44
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,DATOS GENERALES INCORRECTOS,0,54,120,120,50
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE REVISIONES,0,11,101,141,58
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,65,73,72,30,5
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,43,5,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,TARIFA INCORRECTA,7,4,8,3,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSPENSION O CORTE DEL SERVICIO,1,0,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,923,"1,074","1,221",847,193
CAMPO DE LA CRUZ,RECLAMACION,COBROS POR PROMEDIO,260,499,"1,386",932,372
CAMPO DE LA CRUZ,RECLAMACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,667,423,448,286,104
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,102,"1,093",9,0,0
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,0,67,537,420,142
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,69,463,258,124,50
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD CON EL AFORO,93,103,327,163,38
CAMPO DE LA CRUZ,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,59,31,447,136,0
CAMPO DE LA CRUZ,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",109,369,126,39,27
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,136,332,87,33,0
CAMPO DE LA CRUZ,RECLAMACION,DATOS GENERALES INCORRECTOS,0,19,190,121,36
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,14,183,88,10
CAMPO DE LA CRUZ,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,36,42,93,48,12
CAMPO DE LA CRUZ,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,52,99,2,16,25
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,101,85,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",98,72,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,COBROS INOPORTUNOS,0,80,55,20,4
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,97,31,17,6,0
CAMPO DE LA CRUZ,RECLAMACION,ESTRATO INCORRECTO,12,38,17,11,2
CAMPO DE LA CRUZ,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,35,6,0,2,5
CAMPO DE LA CRUZ,RECLAMACION,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,4,19,4,3,2
CAMPO DE LA CRUZ,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,0,9,12,5,2
CAMPO DE LA CRUZ,RECLAMACION,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,0,1,2,14,10
CAMPO DE LA CRUZ,RECLAMACION,QUEJAS ADMINISTRATIVAS,0,1,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,1,0,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBROS POR PROMEDIO,11,12,12,13,5
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,0,0,0,12,5
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,0,0,0,8,5
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",6,0,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,1,0,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO POR RECONEXION NO AUTORIZADA,1,0,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,221,400,712,820,297
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,62,27,399,888,367
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",159,325,444,517,226
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,10,0,270,334,140
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,49,61,161,306,105
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,0,0,96,395,167
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,59,60,60,15,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,30,72,72,18,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL AFORO,0,0,33,77,30
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",0,40,36,30,10
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,0,0,0,30,25
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,43,2,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,4,0,0,16,10
