,,,TIEMPO,,,,
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,0,0,2,0,0
BARRANQUILLA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"1,298","1,056","2,074","1,396",396
BARRANQUILLA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,891,716,661,331,127
BARRANQUILLA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,16,22,106,52,17
BARRANQUILLA,QUEJA,NO CONEXION DEL SERVICIO,42,21,4,4,1
BARRANQUILLA,QUEJA,DATOS GENERALES INCORRECTOS,22,15,13,16,5
BARRANQUILLA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,5,15,12,2,2
BARRANQUILLA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,3,7,10,2,0
BARRANQUILLA,QUEJA,TERMINACION DEL CONTRATO,2,2,4,4,2
BARRANQUILLA,QUEJA,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,12,1,0,0,0
BARRANQUILLA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,1,0,3,4,0
BARRANQUILLA,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,1,2,4,0,0
BARRANQUILLA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,1,1,0,0,0
BARRANQUILLA,QUEJA,NEGACION DE LA SOLICITUD DE SUSPENSION,1,0,0,0,0
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"15,721","12,113","10,537","7,686","3,478"
BARRANQUILLA,RECLAMACION,COBROS POR PROMEDIO,"1,835",591,737,"1,389",232
BARRANQUILLA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION","1,359",663,949,783,191
BARRANQUILLA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,"1,494",557,317,301,77
BARRANQUILLA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,"1,049",526,362,360,145
BARRANQUILLA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,915,420,521,416,142
BARRANQUILLA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,794,258,299,208,50
BARRANQUILLA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,386,344,241,167,63
BARRANQUILLA,RECLAMACION,COBROS INOPORTUNOS,230,132,97,52,15
BARRANQUILLA,RECLAMACION,ESTRATO INCORRECTO,214,162,75,19,5
BARRANQUILLA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,106,88,144,76,26
BARRANQUILLA,RECLAMACION,TARIFA INCORRECTA,147,66,32,19,7
BARRANQUILLA,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,103,94,41,11,10
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,56,73,37,41,18
BARRANQUILLA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,69,91,18,0,4
BARRANQUILLA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,75,20,44,33,9
BARRANQUILLA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,61,43,19,2,0
BARRANQUILLA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",27,29,12,12,4
BARRANQUILLA,RECLAMACION,COBRO DE REVISIONES,10,9,14,4,4
BARRANQUILLA,RECLAMACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,8,0,5,5,0
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON EL AFORO,0,0,0,1,0
BARRANQUILLA,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,0,0,0,1,0
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,111,19,23,18,9
BARRANQUILLA,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",17,5,2,5,3
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,21,1,0,1,0
BARRANQUILLA,RECURSO DE REPOSICION,COBROS POR PROMEDIO,15,0,0,4,0
BARRANQUILLA,RECURSO DE REPOSICION,SUSPENSION O CORTE DEL SERVICIO,0,5,1,0,0
BARRANQUILLA,RECURSO DE REPOSICION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,3,3,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR RECONEXION NO AUTORIZADA,0,2,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2,0,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"7,144","1,963","1,679",711,280
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,774,171,151,79,22
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,779,123,100,137,12
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",517,99,123,68,22
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,581,106,57,51,14
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,399,83,84,33,3
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,431,91,36,24,11
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSPENSION O CORTE DEL SERVICIO,95,18,11,1,2
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,59,20,14,6,1
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,40,19,23,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,21,19,19,14,2
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,TARIFA INCORRECTA,54,5,0,0,2
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,29,9,7,7,4
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO MULTIPLE Y/O ACUMULADO,16,12,5,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,12,6,5,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,10,0,0,1,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUBSIDIOS Y CONTRIBUCIONES,0,2,6,0,1
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",0,2,5,2,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,6,0,0,0,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,1,0,1,3,0
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE REVISIONES,0,0,5,0,0
CAMPO DE LA CRUZ,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,12,13,18,9,1
CAMPO DE LA CRUZ,QUEJA,SUSPENSION O CORTE DEL SERVICIO,2,3,2,5,2
CAMPO DE LA CRUZ,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,0,1,4
CAMPO DE LA CRUZ,QUEJA,NO CONEXION DEL SERVICIO,0,1,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,132,98,96,73,21
CAMPO DE LA CRUZ,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",13,16,10,2,1
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,4,1,3,10,2
CAMPO DE LA CRUZ,RECLAMACION,COBROS POR PROMEDIO,1,2,2,13,1
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,6,1,1,0,0
CAMPO DE LA CRUZ,RECLAMACION,ESTRATO INCORRECTO,5,2,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2,0,0,1,3
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,5,1,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,0,3,0,1,0
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,0,2,1
CAMPO DE LA CRUZ,RECLAMACION,COBROS INOPORTUNOS,2,0,0,0,0
CAMPO DE LA CRUZ,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,0,0,2,0,0
CAMPO DE LA CRUZ,RECLAMACION,TARIFA INCORRECTA,0,0,1,0,0
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,0,0,1,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,12,9,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,0,1,1,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",0,2,0,0,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSPENSION O CORTE DEL SERVICIO,0,0,0,1,0
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,0,0,0,1,0
CANDELARIA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,18,10,10,8,2
CANDELARIA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,3,2,2,0,0
CANDELARIA,QUEJA,NO CONEXION DEL SERVICIO,1,0,0,0,0
CANDELARIA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,1,0,0,0,0
CANDELARIA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,178,139,40,32,8
CANDELARIA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",29,19,14,13,1
CANDELARIA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,12,12,5,0,0
CANDELARIA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,13,6,0,0,1
CANDELARIA,RECLAMACION,TARIFA INCORRECTA,13,0,0,0,0
CANDELARIA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,7,1,1,0,0
CANDELARIA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,4,0,0,2,0
CANDELARIA,RECLAMACION,COBROS POR PROMEDIO,1,1,1,2,0
CANDELARIA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,0,0,1,2,0
CANDELARIA,RECLAMACION,ESTRATO INCORRECTO,0,1,1,0,0
CANDELARIA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,12,0,0,0,0
CANDELARIA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,3,0,5,0,0
CANDELARIA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",0,1,2,2,0
GALAPA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,113,99,69,57,15
GALAPA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,86,62,114,66,10
GALAPA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,2,1,0,0,0
GALAPA,QUEJA,DATOS GENERALES INCORRECTOS,0,0,1,1,0
GALAPA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,0,0,1,0,0
GALAPA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,1,0,0
GALAPA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,469,337,292,194,87
GALAPA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",85,51,75,77,13
GALAPA,RECLAMACION,COBROS POR PROMEDIO,60,44,18,56,7
GALAPA,RECLAMACION,ESTRATO INCORRECTO,51,14,17,10,6
GALAPA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,44,16,9,11,3
GALAPA,RECLAMACION,COBROS INOPORTUNOS,73,0,0,2,0
GALAPA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,0,21,5,13,7
GALAPA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,5,7,11,6,7
GALAPA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,10,3,3,3,2
GALAPA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,5,0,1,1,4
GALAPA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,1,0,0,5,0
GALAPA,RECLAMACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,0,0,3,2,0
GALAPA,RECLAMACION,TARIFA INCORRECTA,0,2,0,0,3
GALAPA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2,3,0,0,0
GALAPA,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,0,1,3,0,0
GALAPA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,0,0,2,0,0
GALAPA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,1,0,0,0,0
GALAPA,RECLAMACION,COBRO DE REVISIONES,1,0,0,0,0
GALAPA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,10,0,3,1,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,115,28,16,3,3
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",20,2,9,6,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSPENSION O CORTE DEL SERVICIO,24,5,0,1,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,20,3,3,0,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,9,8,3,0,2
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,14,0,0,0,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,2,0,3,4,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,0,0,0,1,1
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,0,0,1,0,0
GALAPA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,1,0,0
JUAN DE ACOSTA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,11,9,16,3,1
JUAN DE ACOSTA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,4,3,3,11,3
JUAN DE ACOSTA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,1,0,0,0,0
JUAN DE ACOSTA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,0,0,1,0,0
JUAN DE ACOSTA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,148,106,82,38,21
JUAN DE ACOSTA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",3,5,14,22,1
JUAN DE ACOSTA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,17,0,6,8,0
JUAN DE ACOSTA,RECLAMACION,COBROS POR PROMEDIO,12,2,10,2,0
JUAN DE ACOSTA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,5,5,9,1,2
JUAN DE ACOSTA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2,2,2,3,1
JUAN DE ACOSTA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,1,5,2,1,0
JUAN DE ACOSTA,RECLAMACION,ESTRATO INCORRECTO,0,0,9,0,0
JUAN DE ACOSTA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,3,0,0,0,0
JUAN DE ACOSTA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,1,0,1,0,1
JUAN DE ACOSTA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,1,0,0,0
JUAN DE ACOSTA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,0,1,0,0,0
JUAN DE ACOSTA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,88,4,10,1,1
JUAN DE ACOSTA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",12,0,0,0,0
JUAN DE ACOSTA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,12,0,0,0,0
JUAN DE ACOSTA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,5,0,0,0,0
JUAN DE ACOSTA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,0,0,3,0,0
LURUACO,QUEJA,NO CONEXION DEL SERVICIO,25,72,0,0,0
LURUACO,QUEJA,SUSPENSION O CORTE DEL SERVICIO,28,17,2,5,2
LURUACO,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,17,5,12,1,2
LURUACO,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,0,1,0,0,0
LURUACO,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,0,1,0
LURUACO,QUEJA,DATOS GENERALES INCORRECTOS,1,0,0,0,0
LURUACO,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,189,171,189,106,48
LURUACO,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",31,33,34,36,6
LURUACO,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,24,19,6,6,8
LURUACO,RECLAMACION,COBROS POR PROMEDIO,17,6,6,3,5
LURUACO,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,21,2,2,0,2
LURUACO,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,6,5,0,0,0
LURUACO,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,4,2,2,1,0
LURUACO,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,5,2,2,0,0
LURUACO,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,0,6,0,0,0
LURUACO,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,0,0,3,0,0
LURUACO,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,1,1,0,0,0
LURUACO,RECLAMACION,COBROS INOPORTUNOS,0,0,1,0,0
LURUACO,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,0,2,0,0,0
LURUACO,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,17,10,5,2,0
LURUACO,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",13,3,8,2,0
LURUACO,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,9,3,4,0,0
LURUACO,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,8,0,0,0,0
MALAMBO,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,135,99,150,101,24
MALAMBO,QUEJA,SUSPENSION O CORTE DEL SERVICIO,58,73,67,52,2
MALAMBO,QUEJA,NO CONEXION DEL SERVICIO,8,5,0,0,0
MALAMBO,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,6,3,1,1
MALAMBO,QUEJA,DATOS GENERALES INCORRECTOS,0,0,0,2,1
MALAMBO,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,0,0,1,1,0
MALAMBO,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,0,0,1,0,0
MALAMBO,QUEJA,TERMINACION DEL CONTRATO,0,1,0,0,0
MALAMBO,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,1,0,0,0,0
