MUNICIPIO,TIPO DE TRÁMITE,DETALLE,Año,Número de Reclamos,Fecha
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,16,2021-01-01
BARANOA,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,10,2021-01-01
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD CON EL AFORO,2021,5,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,3,2021-01-01
BARANOA,RECURSO DE REPOSICION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,3,2021-01-01
BARANOA,RECURSO DE REPOSICION,ESTRATO INCORRECTO,2021,1,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,1653,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,2021,837,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,881,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL AFORO,2021,392,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,234,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,188,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,577,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO MULTIPLE Y/O ACUMULADO,2021,258,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,283,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,2021,351,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,225,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,2021,59,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,9,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE REVISIONES,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,4,2021-01-01
BARRANQUILLA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,249,2021-01-01
BARRANQUILLA,QUEJA,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,0,2021-01-01
BARRANQUILLA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,1,2021-01-01
BARRANQUILLA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,0,2021-01-01
BARRANQUILLA,QUEJA,DATOS GENERALES INCORRECTOS,2021,0,2021-01-01
BARRANQUILLA,QUEJA,SUBSIDIOS Y CONTRIBUCIONES,2021,0,2021-01-01
BARRANQUILLA,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,2,2021-01-01
BARRANQUILLA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,2021,0,2021-01-01
BARRANQUILLA,QUEJA,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARRANQUILLA,QUEJA,COBRO MULTIPLE Y/O ACUMULADO,2021,0,2021-01-01
BARRANQUILLA,QUEJA,TARIFA INCORRECTA,2021,0,2021-01-01
BARRANQUILLA,QUEJA,QUEJAS ADMINISTRATIVAS,2021,0,2021-01-01
BARRANQUILLA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,2021,0,2021-01-01
BARRANQUILLA,QUEJA,COBROS INOPORTUNOS,2021,0,2021-01-01
BARRANQUILLA,QUEJA,COBROS POR PROMEDIO,2021,0,2021-01-01
BARRANQUILLA,QUEJA,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,0,2021-01-01
BARRANQUILLA,QUEJA,TERMINACION DEL CONTRATO,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,140394,2021-01-01
BARRANQUILLA,RECLAMACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,227321,2021-01-01
BARRANQUILLA,RECLAMACION,COBROS POR PROMEDIO,2021,45182,2021-01-01
BARRANQUILLA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,41034,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2021,2,2021-01-01
BARRANQUILLA,RECLAMACION,DATOS GENERALES INCORRECTOS,2021,1,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,55381,2021-01-01
BARRANQUILLA,RECLAMACION,ESTRATO INCORRECTO,2021,46292,2021-01-01
BARRANQUILLA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,13816,2021-01-01
BARRANQUILLA,RECLAMACION,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,2021,1567,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,2021,21143,2021-01-01
BARRANQUILLA,RECLAMACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,8504,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,5100,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,19219,2021-01-01
BARRANQUILLA,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON EL AFORO,2021,7648,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,2021,4004,2021-01-01
BARRANQUILLA,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,5647,2021-01-01
BARRANQUILLA,RECLAMACION,COBROS INOPORTUNOS,2021,3,2021-01-01
BARRANQUILLA,RECLAMACION,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,181,2021-01-01
BARRANQUILLA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,5854,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,2021,2409,2021-01-01
BARRANQUILLA,RECLAMACION,SUSPENSION O CORTE DEL SERVICIO,2021,9,2021-01-01
BARRANQUILLA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,2021,184,2021-01-01
BARRANQUILLA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,2021,247,2021-01-01
BARRANQUILLA,RECLAMACION,QUEJAS ADMINISTRATIVAS,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,SUSPENSION POR MUTUO ACUERDO,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,COBRO DE REVISIONES,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,TARIFA INCORRECTA,2021,220,2021-01-01
BARRANQUILLA,RECLAMACION,FALLAS EN LA CONEXION DEL SERVICIO,2021,0,2021-01-01
BARRANQUILLA,RECLAMACION,TERMINACION DEL CONTRATO,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,3708,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBROS POR PROMEDIO,2021,1583,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,1773,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,1325,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,893,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,511,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,2021,305,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO MULTIPLE Y/O ACUMULADO,2021,258,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,200,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,ESTRATO INCORRECTO,2021,635,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,143,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,INCONFORMIDAD CON EL AFORO,2021,183,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,230,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBROS INOPORTUNOS,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO POR RECONEXION NO AUTORIZADA,2021,55,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,TARIFA INCORRECTA,2021,4,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,1,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,SUBSIDIOS Y CONTRIBUCIONES,2021,1,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,1,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION,COBRO DE REVISIONES,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,48257,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,41086,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,2021,17866,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,6061,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO MULTIPLE Y/O ACUMULADO,2021,7250,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,10755,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,3965,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,5290,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL AFORO,2021,2988,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,3262,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,2021,3450,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,2021,619,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,235,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,2021,884,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUBSIDIOS Y CONTRIBUCIONES,2021,31,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,DATOS GENERALES INCORRECTOS,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE REVISIONES,2021,0,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,65,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,43,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,TARIFA INCORRECTA,2021,7,2021-01-01
BARRANQUILLA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSPENSION O CORTE DEL SERVICIO,2021,1,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,923,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBROS POR PROMEDIO,2021,260,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,667,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,2021,102,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,69,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD CON EL AFORO,2021,93,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,59,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,109,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,136,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,DATOS GENERALES INCORRECTOS,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,36,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,2021,52,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,101,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,98,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBROS INOPORTUNOS,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,2021,97,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,ESTRATO INCORRECTO,2021,12,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,35,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,2021,4,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,QUEJAS ADMINISTRATIVAS,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,2021,1,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBROS POR PROMEDIO,2021,11,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,6,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,1,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION,COBRO POR RECONEXION NO AUTORIZADA,2021,1,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,221,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,2021,62,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,159,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,10,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,49,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR RECONEXION NO AUTORIZADA,2021,59,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,30,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL AFORO,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,ESTRATO INCORRECTO,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,43,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,4,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
CAMPO DE LA CRUZ,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO MULTIPLE Y/O ACUMULADO,2021,3,2021-01-01
